name,nickname,image_link,birthday_year,birthday_month,birthday_day,blood_type,place_of_birth,height,hobby,special_skill,best_feature
秋吉 優花,ゆかちゃん,https://cf-pc.c-hkt48.com/img/profile/images/0023_320.jpg?20220311000304,2000,10,24,B,福岡県,158,DTM・音楽鑑賞・中国語・みかんアート・習字・お菓子作り・ゲーム,ギター・ダンス・首フラフープ・タイピング,唇・下まつげ
伊藤 優絵瑠,ゆえる,https://cf-pc.c-hkt48.com/img/profile/images/0071_320.jpg?20220311000305,2003,10,24,不明,東京都,159,お菓子作り,回ること,瞳の色
栗山 梨奈,りな,https://cf-pc.c-hkt48.com/img/profile/images/0084_320.jpg?20220311000305,2000,12,30,A,大分県,157,ハンドメイド,バドミントン・リコーダー,鎖骨
神志那 結衣,じーな,https://cf-pc.c-hkt48.com/img/profile/images/0033_320.jpg?20220311000305,1998,1,24,AB,福岡県,164,映画鑑賞・カラオケ・食べること,開脚・ポーカーフェイス,ロングヘアー・目元
坂口 理子,りこぴ,https://cf-pc.c-hkt48.com/img/profile/images/0036_320.jpg?20220311000305,1994,7,26,A,福岡県,164,野球観戦・ラーメンを食べること・人間観察・愛犬と遊ぶこと,モノマネ,愛嬌
坂本 りの,りのちゃん,https://cf-pc.c-hkt48.com/img/profile/images/0086_320.jpg?20220311000307,2002,6,10,B,東京都,160,踊ること・フランスパンを切ること,ペットの鳥とお話すること・バレエ・洋服のコーディネート,目
田島 芽瑠,める,https://cf-pc.c-hkt48.com/img/profile/images/0037_320.jpg?20220311000308,2000,1,7,B,福岡県,163,読書・アニメ・漫画・映画 舞台鑑賞,バブルリング・乗馬・ローラースケート,笑顔・声が大きい・度胸がある・コミュニケーション力
田中 美久,みくりん,https://cf-pc.c-hkt48.com/img/profile/images/0048_320.jpg?20220311000308,2001,9,12,B,熊本県,151,カラオケ・映画鑑賞,フラフープ,のびるほっぺた
豊永 阿紀,あき,https://cf-pc.c-hkt48.com/img/profile/images/0067_320.jpg?20220311000309,1999,10,25,B,福岡県,158,不動産サイトを見ること・読書・写真撮影・サッカー観戦・セルフネイル・スキューバダイビング,資格取得,広いおでこと三重まぶた
松岡 菜摘,なつ,https://cf-pc.c-hkt48.com/img/profile/images/0011_320.jpg?20220311000310,1996,8,8,A,福岡県,161,ゲーム,料理,まつげ
水上 凜巳花,りみか,https://cf-pc.c-hkt48.com/img/profile/images/0090_320.jpg?20220311000310,2003,7,10,B,福岡県,162,メンバーの写真を撮ること,ダンス,目の下の泣きぼくろ
